Player1,Player2,P1_Wins,P2_Wins
KTO,Q6O,0.0,2.0
AJO,Q5O,0.0,2.0
T9O,K6O,0.0,2.0
93S,43O,2.0,0.0
A4S,KTO,0.0,2.0
Q9O,K6O,2.0,0.0
J4O,A2O,0.0,2.0
87O,T2O,2.0,0.0
AQO,32O,2.0,0.0
64O,A3O,2.0,0.0
94O,T6S,0.0,2.0
A3O,T9O,0.0,2.0
98O,A7O,0.0,2.0
J3O,J8O,0.0,2.0
T9O,Q2O,0.0,2.0
T2S,93O,2.0,0.0
93S,55O,0.0,2.0
T2S,J8O,0.0,2.0
Q3O,43O,2.0,0.0
KJS,T6O,2.0,0.0
KJS,QTO,2.0,0.0
J2O,T4S,0.0,2.0
Q8O,K9O,2.0,0.0
K9S,75S,2.0,0.0
32O,84S,0.0,2.0
93S,QTS,0.0,2.0
83O,AAO,2.0,0.0
T8O,94O,2.0,0.0
K3S,AJO,2.0,0.0
A5O,KKO,0.0,2.0
22O,84O,0.0,2.0
Q2S,63O,0.0,2.0
99O,AQO,2.0,0.0
Q8S,94O,2.0,0.0
Q8O,K2O,2.0,0.0
93O,Q4O,0.0,2.0
A8O,J6S,0.0,2.0
85O,J7S,0.0,2.0
K2S,64O,2.0,0.0
74O,32S,2.0,0.0
92S,A4O,0.0,2.0
QJO,J5S,2.0,0.0
AJO,Q6O,0.0,2.0
J2O,83O,2.0,0.0
83S,43O,2.0,0.0
83O,T2O,0.0,2.0
AKO,QQO,0.0,2.0
32O,42O,0.0,2.0
53O,82O,2.0,0.0
KJO,T3O,0.0,2.0
T6O,85S,2.0,0.0
94O,T5O,0.0,2.0
33O,A5O,0.0,2.0
K5O,43O,0.0,2.0
55O,AKS,0.0,2.0
A8O,K6O,2.0,0.0
T3O,55O,0.0,2.0
Q9O,64O,2.0,0.0
K9O,T4O,0.0,2.0
53O,87S,0.0,2.0
J4O,T3O,0.0,2.0
64O,65O,0.0,2.0
63S,97O,0.0,2.0
K4O,T3O,2.0,0.0
A5O,A6O,0.0,2.0
T9O,62O,0.0,2.0
A4O,J2O,2.0,0.0
KQO,T7O,0.0,2.0
QTO,T6O,2.0,0.0
94O,A8O,0.0,2.0
J7O,32O,2.0,0.0
72S,ATO,2.0,0.0
98O,J2O,0.0,2.0
J9O,42O,2.0,0.0
J4S,K2O,0.0,2.0
84O,66O,0.0,2.0
AQO,97O,2.0,0.0
A9O,85O,0.0,2.0
J4O,AQO,0.0,2.0
AKO,96S,2.0,0.0
AAO,Q9O,0.0,2.0
J5O,K7O,2.0,0.0
KJS,J9S,2.0,0.0
ATO,J9S,0.0,2.0
K2S,J9O,0.0,2.0
K5O,T7O,2.0,0.0
A8O,A2O,2.0,0.0
85O,Q2O,2.0,0.0
87S,J3S,2.0,0.0
42O,AQO,2.0,0.0
76O,A6O,0.0,2.0
QJO,T8O,2.0,0.0
98O,63O,0.0,2.0
42O,73O,2.0,0.0
KQO,T3O,2.0,0.0
96S,53O,2.0,0.0
53O,A2O,0.0,2.0
K4S,86O,2.0,0.0
K6O,93O,0.0,2.0
A8O,97O,0.0,2.0
Q8S,T4O,0.0,2.0
AJO,97O,2.0,0.0
J9O,A7O,2.0,0.0
KTO,Q6S,2.0,0.0
85O,A8O,0.0,2.0
72O,A6O,0.0,2.0
A3O,JTS,2.0,0.0
KJO,85S,0.0,2.0
A5O,44O,0.0,2.0
A2O,96S,2.0,0.0
T9O,J4O,0.0,2.0
62O,86O,2.0,0.0
85S,A3O,0.0,2.0
65O,T2S,0.0,2.0
52S,T2O,2.0,0.0
Q7O,86S,2.0,0.0
65O,J8O,0.0,2.0
J2O,93O,2.0,0.0
A8O,KQO,2.0,0.0
ATO,K9O,2.0,0.0
KQS,32O,2.0,0.0
43O,J4S,2.0,0.0
52S,A4O,0.0,2.0
A4O,82S,0.0,2.0
AJS,A5O,2.0,0.0
